URL,チャンネル名,登録者数,総再生数,投稿数,軍事部系最後の投稿日,初投稿日,失踪期間,活動期間(day),投稿頻度(1/year),平均再生数,登録者増加数,前回調査以降の投稿数
https://www.youtube.com/channel/UCGJ_IlHjHL34CZnwyL21anQ,USP40,194,36765,12,2021/12/05,2021/08/24,257,360,12.17,3063.8,30,0
https://www.youtube.com/channel/UCEEI88FnvSGrOU54_5Ntv7Q,ざるつっイワン,44,1043,4,2021/09/18,2021/08/19,335,365,4.00,260.8,10,-3
https://www.youtube.com/channel/UCfrggoy84Xq6sEjTH6BaNJQ,Popo Chen,1170,358311,40,2018/02/23,2016/12/27,1638,2061,7.08,8957.8,10,0
https://www.youtube.com/channel/UCwWfHRHnVnP171uRq0ee1Sg,【私は美味しくないよ】京都まんじゅう,32,1246,23,2021/09/23,2020/11/23,330,634,13.24,54.2,-1,0
https://www.youtube.com/channel/UCvr3qLNNI5ayPGji8vlVHxQ,,,,,,,44792,44792,0.00,#DIV/0!,0,0
https://www.youtube.com/channel/UCdNMhiL_rUaot5Nnp7PISkg,Катюша for Android,280,167337,76,2022/08/12,2020/03/31,7,871,31.85,2201.8,63,13
https://www.youtube.com/channel/UC7wIYf7bhEvMgBlGbsIba3w,カプレカチャンネル,306,59930,40,2022/08/18,2021/05/03,1,473,30.87,1498.3,145,23
https://www.youtube.com/channel/UCJjQJ15R-CWidxf-dDrKtOw,さくたら。,198,153246,27,2021/11/05,2018/09/24,287,1425,6.92,5675.8,43,4
https://www.youtube.com/channel/UCN2SfQMpErGQ7DIWj043hDA,千歳王国たけのこ,31,97,2,2022/07/30,2021/09/23,20,330,2.21,48.5,13,-9
https://www.youtube.com/channel/UCIFVYWXpGENDiJxP_7v-qng,12クラク！,142,22869,82,2022/08/12,2021/04/14,7,492,60.83,278.9,69,2
https://www.youtube.com/channel/UCvYz-Y3gKsvK3g2PM7ESJOw,虎杖すがお Itadori Sugao,2480,992832,202,2022/05/27,2018/09/02,84,1447,50.95,4915.0,1480,10
https://www.youtube.com/channel/UCzpF2C2CEhBDGzaQo82rVKw,Crafter MOCHI,6,0,0,2021/11/03,2021/11/03,289,289,0.00,#DIV/0!,1,-3
https://www.youtube.com/user/nekorozii,nekorozii,45,14044,3,2015/01/01,2013/08/25,2787,3281,0.33,4681.3,0,0
https://www.youtube.com/channel/UC85nV0NwH_7YnzF84bqjteA,OCB Gaming 【初心者講座&参加型LIVE,5910,1411289,1348,2022/03/19,2019/07/17,153,1129,435.80,1047.0,1060,0
