URL,チャンネル名,登録者数,総再生数,投稿数,初投稿日
https://www.youtube.com/channel/UC3og_gAUXsEGW-qDoiGCMOQ,鷲 [NavyEagle2000],15000,3468868,35,2016/02/11
https://www.youtube.com/channel/UC7fwFjZKiaHtcDnH1JUkFuw,サトウキビしゅがー,9190,4688443,50,2016/05/22
https://www.youtube.com/channel/UCzB8_PC3Siup1Zai8EfJC2g,中村 / Nakamura,7770,916233,194,2018/07/21
https://www.youtube.com/user/matubokkjp,matubokkjp,7330,2316750,29,2013/06/14
https://www.youtube.com/user/nechonidus,王立製作所【ネコ3世 and M.C.M.】,6850,2037015,51,2013/06/30
https://www.youtube.com/channel/UCVCIwy9C9nZCSgMBanbicOQ,チビすけ,4530,946948,70,2015/09/12
https://www.youtube.com/channel/UCAhWksojRXPhWZeWU6klw4w,uniabo,3070,890423,151,2016/04/02
https://www.youtube.com/channel/UCnIJW9L4JPXWTLakVJL6aPA,amu_yugo,2110,269255,22,2016/08/23
https://www.youtube.com/channel/UCWc6h3RiZQuix7U4Cced8fg,逆方面のジーニアス_,1090,174270,40,2017/12/08
https://www.youtube.com/user/tamashiropod,塩屋丸,2720,646482,50,2012/11/15
https://www.youtube.com/channel/UChTecvFw28tdseOQOJ1RDmA,Nereidon,3320,1520011,30,2013/12/24
https://www.youtube.com/channel/UCTyWgqo8GiiKap3-ecD6WVQ,ʘきり,1440,214093,13,2017/09/06
https://www.youtube.com/channel/UCLwDneZsOVr_cWKXYK-Vzww,umikaze102,2640,346387,27,2016/09/01
https://www.youtube.com/user/nozinozigunnzibu,野尻航輝,3570,32965,2,2015/03/27
https://www.youtube.com/channel/UCrbf28FSEmVm1moy-BbzlQQ,犬甘みかん,2370,453506,16,2015/04/11
https://www.youtube.com/channel/UCc69hJ5mwisOY32RmEB3Xtg,sak a,2600,771704,41,2012/11/12
https://www.youtube.com/channel/UC8K2d3X4zLhf6G0NbNUdV5A,東風谷ポッキー,2440,794811,89,2014/04/29
https://www.youtube.com/channel/UCMbyDFdjJZ4gjWNPZ7Jv31Q,れもん,1970,816137,11,2014/08/11
https://www.youtube.com/channel/UCOHo2OjTEx__ki-vNCYttJQ,グロウジーク,1520,7024,6,2019/12/21
https://www.youtube.com/channel/UCZdbfCBSeWYhRhIX8k2jJhQ,加魅那ロリコry,1130,352228,54,2015/01/17
https://www.youtube.com/channel/UCfinanJHgu7a__WILI0JL3w,たいさ,0,776260,164,2016/02/07
https://www.youtube.com/channel/UClA1BuykNif3_zxjBcOFB_A,タンザナイト,3510,1008729,79,2017/03/31
https://www.youtube.com/user/zclass38,ⓩclassDestroyer,2110,872171,49,2013/07/04
https://www.youtube.com/user/SayamaMX,Sandman Channel,0,3089259,115,2013/06/06
https://www.youtube.com/user/nafutaren0801,なふたれんチャンネル,3350,1777581,872,2013/01/05
https://www.youtube.com/user/nobori031404130814,Aパルティエ,1990,707347,44,2015/10/28
https://www.youtube.com/channel/UCiPopwfnecQmGOU0S8FmevQ,鮭酒,1510,249450,2,2015/10/09
https://www.youtube.com/channel/UCGXtZ4-cWuPKKyC8ao9Izxw,河村ケンジロウ,1110,0,1,2013/06/14
https://www.youtube.com/channel/UC8n0XLOUR5Spj7BPsC3vr4w,yuma 2002,1610,411016,136,2016/06/12
https://www.youtube.com/channel/UCkC-XW5O1pw9c9tXjdvRJ-w,三沢みれん,2090,513759,252,2014/04/04
https://www.youtube.com/channel/UCcrIcnVK9IzIt0L5cQCj9ZQ,みもっ!,1470,170583,110,2018/04/06
https://www.youtube.com/channel/UCB5JciDmn6br8HP4uXOw0aw,MINWORチャンネル【ミンワーチャンネル】軍事:ANF帝国,2570,1696112,313,2018/04/10
https://www.youtube.com/channel/UCLf176qimbymoSwEFl7wv1w,籠目,1110,128798,6,2020/09/18
https://www.youtube.com/channel/UCKeDkguxStk5hiqz0-v_dSQ,ゆうぎり,2030,538822,72,2020/06/26
https://www.youtube.com/channel/UCaTLbvQKs4MRLEOiSWEwxCA,oikawa 200,1050,90423,14,2018/12/25
https://www.youtube.com/channel/UCR-TrCtPAXeXa_lLuGNXAfA,Fuzawaゆっくり,1180,75456,52,2018/05/18
https://www.youtube.com/channel/UCR0g5kMYlSx97D_1VB2rYUQ,ひーくんくん,1570,2402530,45,2014/06/14
https://www.youtube.com/channel/UCcm1NaNtpLjx1YumxbNXlSw,pastelair [Yuto.],2710,554034,8,2019/08/31
https://www.youtube.com/channel/UCKtXUFzaJPvPHIe5ZxbPyJA,ただのまふぃん,2270,54647,45,2015/07/17
https://www.youtube.com/channel/UCYn4nvL7AFX6cfZ0ZDwVVcQ,harutakaチャンネル,2870,3243508,33,2015/08/28
https://www.youtube.com/channel/UCnSy2DH66WERLueMUeLsEVg,Toilet Eastern,1070,0,1,2013/04/27
https://www.youtube.com/channel/UCOrENzNp5pp3JCU6Tgpa-3w,ＳＳのチャンネル,1380,540935,58,2014/09/20
https://www.youtube.com/channel/UC9CQbTJmS3v2xGHyVmGu4wA,ペングイーーん,930,91608,8,2020/03/10
https://www.youtube.com/channel/UCOvgLogPPNM5GJ_zZmkvmBw,小原重工,896,516851,4,2017/11/10
https://www.youtube.com/user/o0oKILLAo0o,o0oKILLAo0o,872,751899,317,2011/09/04
https://www.youtube.com/user/takahiko102,PC RT5,36,34032,15,2012/12/11
https://www.youtube.com/channel/UCVlkgSmsOXTMH2HF3WoIccQ,void hoge,618,194465,112,2015/04/29
https://www.youtube.com/channel/UCC20Z9qdNw0qadQATT7yMwQ,Cell NK,32,1865,6,2019/02/18
https://www.youtube.com/channel/UCYQaNyBGIKe5a9u5toS1pKQ,Centurion,730,85209,15,2018/01/08
https://www.youtube.com/channel/UCHGp-2TawtOvC7wi3svsOjg,野良くま,227,43279,38,2020/02/06
https://www.youtube.com/channel/UCSZYgH45UlKbE0jSAmZXIIA,からす,91,2383,3,2021/01/07
https://www.youtube.com/channel/UCt2ryxruFsE7tJ43VvHlbqQ,しえのチャンネル,106,10401,35,2018/07/10
https://www.youtube.com/channel/UCiR8_qI8pxowRy7Kkmd9ouQ,Yunagi Fleet,676,65623,32,2018/09/17
https://www.youtube.com/channel/UCYQm9zxlltBK-AMudYtWMRQ,なとりうむ。,180,4604,24,2018/01/30
https://www.youtube.com/channel/UCiTyY5sNLiicSIPjxiZjoYw,クリーパー妖夢,427,126868,77,2015/05/02
https://www.youtube.com/channel/UC5CUKBxukc9m1BDWXaI-mxA,白駒おうひ,58,2031,13,2019/01/01
https://www.youtube.com/channel/UCQ7nW6Bjh70TfE8GSHswLLg,白狼天狗SENYA,262,15014,12,2019/12/03
https://www.youtube.com/channel/UCgLBfnQrcw0O1h7CpRxg2og,まふらーのゲーム実況,25,6075,23,2020/05/12
https://www.youtube.com/c/%E3%81%BE%E3%81%84%E3%81%A3%E3%81%A1,まいっち,117,16126,41,2020/01/24
